opt_date,optimizer_winner,n_segments,total_budget,plan_budget_total,n_segments_zero_budget,holdout_r2,holdout_rmse,holdout_mae,n_holdout,pred_lift_total,actual_model_lift_total,observed_total,rmse_pred_lift_vs_observed,pred_lift_raw_total,actual_model_lift_raw_total,act_budget_total
2025-09-11,xgboost,6,267.83,264.2,1,0.9373067595816701,0.10979176390576566,0.10451279274252064,4.0,3.005544826388359,2.5077508836984634,2.5045473327497874,0.5684662622724178,3.005544826388359,2.5077508836984634,267.83
2025-09-12,xgboost,6,267.83,264.69,0,0.7983240246662184,0.1611879423683525,0.15392951144642392,4.0,3.038693591952324,2.5077508836984634,1.8920328379127678,0.4109533476603955,3.038693591952324,2.5077508836984634,267.83
2025-09-13,xgboost,6,267.83,264.69,0,0.6632146942147221,0.1696312555203391,0.14415099270032983,4.0,2.808516338467598,2.2818703949451447,1.7052664241438253,0.3579631932933129,2.808516338467598,2.2818703949451447,267.83
2025-09-14,xgboost,6,267.83,264.2,1,0.5402123538308448,0.19606069382350566,0.17324640109710512,4.0,2.91297547519207,2.4533820897340775,1.760396485345657,0.39407022471080927,2.91297547519207,2.4533820897340775,267.83
2025-09-15,xgboost,6,267.83,264.2,1,0.6431784873191411,0.40693250557948,0.3446635576461285,4.0,3.0938283652067184,2.546610549092293,3.3977983284871245,0.8861957738652273,3.0938283652067184,2.546610549092293,267.83
2025-09-16,xgboost,6,267.83,264.2,1,0.683579683569085,0.31818239987999447,0.23469171640196082,4.0,3.053326800465584,2.5396055430173874,2.8706447509792876,0.7544309758206736,3.053326800465584,2.5396055430173874,267.83
2025-09-17,xgboost,6,267.83,264.69,0,0.7027848285516591,0.18061424968849718,0.1541183932461535,4.0,3.0839219242334366,2.5077508836984634,2.0078145375684,0.4004795788147885,3.0839219242334366,2.5077508836984634,267.83
2025-09-18,xgboost,6,267.83,264.2,1,0.8573974586892761,0.18683014794442193,0.14803477492523087,4.0,3.005544826388359,2.5077508836984634,2.521894194944765,0.6228472039793326,3.005544826388359,2.5077508836984634,267.83
2025-09-19,xgboost,6,267.83,264.69,0,0.3113279497573034,0.22553602776329384,0.21585318130235537,4.0,3.038693591952324,2.5077508836984634,1.644338158489042,0.3502154992113608,3.038693591952324,2.5077508836984634,267.83
2025-09-20,xgboost,6,267.83,264.69,0,0.9249780988469243,0.1019141777157517,0.07938748453881744,4.0,2.808516338467598,2.2818703949451447,2.0429738256744097,0.42498390375909023,2.808516338467598,2.2818703949451447,267.83
2025-09-21,xgboost,6,267.83,264.2,1,0.5808975061580992,0.292372238481727,0.23866785544562755,4.0,2.91297547519207,2.4533820897340775,2.5830218564636915,0.6019474317236385,2.91297547519207,2.4533820897340775,267.83
2025-09-22,xgboost,6,267.83,264.69,0,0.7699976409788769,0.26192043645303587,0.15264582542942398,4.0,3.172205463051796,2.546610549092293,3.061931766384976,0.7074966838142116,3.172205463051796,2.546610549092293,267.83
2025-09-23,xgboost,6,267.83,264.69,0,0.8690809201175657,0.12742941054507334,0.10822153336444287,4.0,3.1317038983106613,2.5396055430173874,2.187723048210999,0.42968043709285286,3.1317038983106613,2.5396055430173874,267.83
2025-09-24,xgboost,6,267.83,264.69,0,0.7035892939732812,0.21140145818943457,0.18259165641295927,4.0,3.0839219242334366,2.5077508836984634,1.7773842580466264,0.44258890497937975,3.0839219242334366,2.5077508836984634,267.83
