scenario,target,n_days,conversions,conversions_se,budget,budget_se,conversions_per_dollar,improvement_conversions_pct,improvement_conversions_per_dollar_pct,lift_source,n_missing_days,missing_days
Model,conv_scaled_clicks,14,24.54874549786012,0.8812966232684065,367.27000000000004,1.459604251900531e-14,0.06684114002739161,875.9327416440744,875.9327416440742,raw,0,
Actual,conv_scaled_clicks,14,2.5154136602185155,0.04391245861583177,367.27000000000004,1.576552779810155e-14,0.006848949438338321,,,raw,0,
