opt_date,optimizer_winner,n_segments,total_budget,plan_budget_total,n_segments_zero_budget,pred_lift_total,actual_model_lift_total,observed_total,rmse_pred_lift_vs_observed,pred_lift_raw_total,actual_model_lift_raw_total,act_budget_total
2026-05-12,ensemble_ridge_xgb,6,367.27,367.2699999999996,0,29.348249436335312,3.7610023706291313,3.2100000407578535,4.885329641713961,29.348249436335312,3.7610023706291313,367.27
2026-05-13,ensemble_ridge_xgb,6,367.27,367.26999999999947,0,28.800370645317916,3.5446229826446465,2.6986022649442285,4.935188625322456,28.800370645317916,3.5446229826446465,367.27
2026-05-14,ensemble_ridge_xgb,6,367.27,367.27,0,28.972836118521045,3.6127832846590993,3.4672658671103003,4.773992035847063,28.972836118521045,3.6127832846590993,367.27
2026-05-15,ensemble_ridge_xgb,6,367.27,367.2699999999995,0,28.306047543872864,3.3637022951930184,2.1346213447805304,5.001168729040066,28.306047543872864,3.3637022951930184,367.27
2026-05-16,ensemble_ridge_xgb,6,367.27,367.2699999999993,0,28.204491156607606,3.346307235597594,1.4773825843350032,5.156624336738671,28.204491156607606,3.346307235597594,367.27
2026-05-17,ensemble_ridge_xgb,6,367.27,367.26999999999913,0,28.510779167496928,3.4495443917733355,1.3610060485397504,5.241876779470642,28.510779167496928,3.4495443917733355,367.27
2026-05-18,ensemble_ridge_xgb,6,367.27,367.2699999999991,0,29.4929899732113,3.8239604800076274,3.0333782300278798,4.965436529854134,29.4929899732113,3.8239604800076274,367.27
2026-05-19,ensemble_ridge_xgb,6,367.27,367.2699999999992,0,29.289450358637573,3.734181337228567,3.2420586804713327,4.892708166478971,29.289450358637573,3.734181337228567,367.27
2026-05-20,ensemble_ridge_xgb,6,367.27,367.26999999999924,0,28.75073608560107,3.517810635754576,2.8997936227769476,4.875032454029613,28.75073608560107,3.517810635754576,367.27
2026-05-21,ensemble_ridge_xgb,6,367.27,367.2699999999993,0,28.91862589200537,3.5859680978463326,2.978257687141781,4.880120235296648,28.91862589200537,3.5859680978463326,367.27
2026-05-22,ensemble_ridge_xgb,6,367.27,367.2699999999996,0,28.247333800675335,3.336900716000284,3.1398867899851473,4.73517939527731,28.247333800675335,3.336900716000284,367.27
2026-05-23,ensemble_ridge_xgb,6,367.27,367.2699999999993,0,28.14580042020589,3.3195109022682594,2.2531968684648893,4.945391010200072,28.14580042020589,3.3195109022682594,367.27
2026-05-24,ensemble_ridge_xgb,6,367.27,367.26999999999964,0,28.461178875801217,3.4227398574917567,2.3210757190370583,4.982909835479218,28.461178875801217,3.4227398574917567,367.27
2026-05-25,ensemble_ridge_xgb,6,367.27,367.2699999999993,0,28.88983470367027,3.599117380552797,1.6408413660754493,5.228559817280946,28.88983470367027,3.599117380552797,367.27
