Day,n_segments,pred_lift_total,actual_model_lift_total,pred_lift_raw_total,actual_model_lift_raw_total,opt_budget_total,act_budget_total,observed_total
2026-05-12,6,29.618420322489612,2.755434609536022,29.618420322489612,2.755434609536022,367.2700000000001,367.27,3.2100000407578535
2026-05-13,6,28.81516042212695,2.518823719198447,28.81516042212695,2.518823719198447,367.27,367.27,2.6986022649442285
2026-05-14,6,25.35136348141699,2.584141811194867,25.35136348141699,2.584141811194867,367.2699999999999,367.27,3.4672658671103003
2026-05-15,6,25.33745053405825,2.334563006499775,25.33745053405825,2.334563006499775,367.27,367.27,2.1346213447805304
2026-05-16,6,25.21266670021377,2.3408608438695677,25.21266670021377,2.3408608438695677,367.2700000000001,367.27,1.4773825843350032
2026-05-17,6,25.66197532158788,2.4367202460075363,25.66197532158788,2.4367202460075363,367.2700000000001,367.27,1.3610060485397502
2026-05-18,6,28.42857979513686,2.7840068034606977,28.42857979513686,2.7840068034606977,367.2700000000001,367.27,3.0333782300278798
2026-05-19,6,27.676243427597782,2.736126748916748,27.676243427597782,2.736126748916748,367.27,367.27,3.2420586804713327
2026-05-20,6,22.218308046475432,2.4994796027926727,22.218308046475432,2.4994796027926727,367.27000000000004,367.27,2.8997936227769476
2026-05-21,6,22.405401923818538,2.564808074964818,22.405401923818538,2.564808074964818,367.27000000000004,367.27,2.978257687141781
2026-05-22,6,21.624259056651816,2.315177425139043,21.624259056651816,2.315177425139043,367.27000000000004,367.27,3.139886789985147
2026-05-23,6,19.995345861594863,2.3214602228908707,19.995345861594863,2.3214602228908707,367.27000000000004,367.27,2.2531968684648893
2026-05-24,6,20.31482709825214,2.4173496215202097,20.31482709825214,2.4173496215202097,367.27,367.27,2.321075719037059
2026-05-25,6,21.02243497862086,2.6068385070679314,21.02243497862086,2.6068385070679314,367.27000000000004,367.27,1.6408413660754493
