actual_budget,actual_keyword_set_id,actual_model_lift,actual_model_lift_raw,campaign_budget,daily_budget,f_plan_level,f_zero,keyword_set_id,observed_clicks,observed_conv_scaled_clicks,pred_lift,pred_lift_raw,region,row_kind,segment
152.7,ks_0012,,,,0.0,1.610753128885526,1.6107531288855257,synthetic_A_Broad_semantic_2,44,4.1891719017704165,2.220446049250313e-16,2.220446049250313e-16,A,plan,A / Broad
152.7,ks_0012,,,,50.0,7.617652529257834,7.184697292181804,ks_0013,44,4.1891719017704165,0.4329552370760297,0.4329552370760297,A,plan,A / Phrase; Exact
61.9,ks_0016,,,,0.0,2.0112614524481254,2.0112614524481254,synthetic_B_Broad_semantic_5,60,7.264787015164216,4.440892098500626e-16,4.440892098500626e-16,B,plan,B / Broad
61.9,ks_0016,,,,30.0,5.790529577055264,5.466249090703044,synthetic_B_Phrase; Exact_semantic_12,60,7.264787015164216,0.3242804863522206,0.3242804863522206,B,plan,B / Phrase; Exact
198.1,ks_0020,,,,26.09,1.4789690843516272,1.1367481996402182,synthetic_USA_Broad_top_15,23,1.8186380813953487,0.342220884711409,0.342220884711409,USA,plan,USA / Broad
198.1,ks_0020,,,,271.83999209565764,0.0,0.0,synthetic_USA_Phrase; Exact_composite_22,23,1.8186380813953487,0.0,0.0,USA,plan,USA / Phrase; Exact
152.7,ks_0012,1.16135535956343,1.16135535956343,152.7,152.7,4.910565883846743,3.7492105242833134,ks_0012,44,4.1891719017704165,,,,market,A / Broad; Phrase; Exact
61.9,ks_0016,0.7130644644310902,0.7130644644310902,61.9,61.9,9.299772321280964,8.586707856849873,ks_0016,60,7.264787015164216,,,,market,B / Broad; Phrase; Exact
198.1,ks_0020,1.2403466975224453,1.2403466975224453,198.1,198.1,3.1581675691988713,1.917820871676426,ks_0020,23,1.8186380813953487,,,,market,USA / Broad; Phrase; Exact
