actual_budget,actual_keyword_set_id,actual_model_lift,actual_model_lift_raw,campaign_budget,daily_budget,f_plan_level,f_zero,keyword_set_id,observed_clicks,observed_conv_scaled_clicks,pred_lift,pred_lift_raw,region,row_kind,segment
152.7,ks_0012,,,,0.0,3.6126198768615723,3.6126198768615723,synthetic_A_Broad_semantic_2,63,5.998132495716733,0.0,0.0,A,plan,A / Broad
152.7,ks_0012,,,,50.0,1.4230329990386963,0.8241754770278931,ks_0013,63,5.998132495716733,0.5988575220108032,0.5988575220108032,A,plan,A / Phrase; Exact
61.9,ks_0016,,,,0.0,3.6126198768615723,3.6126198768615723,synthetic_B_Broad_semantic_5,77,9.32314333612741,0.0,0.0,B,plan,B / Broad
61.9,ks_0016,,,,38.83000182612964,1.1238131523132324,0.9252369403839111,ks_0019,77,9.32314333612741,0.1985762119293213,0.1985762119293213,B,plan,B / Phrase; Exact
198.1,ks_0020,,,,26.09,0.40856942534446716,0.34994885325431824,synthetic_USA_Broad_top_15,30,2.3721366279069764,0.058620572090148926,0.058620572090148926,USA,plan,USA / Broad
198.1,ks_0020,,,,271.8400008086144,1.6477841138839722,1.0373321771621704,synthetic_USA_Phrase; Exact_composite_22,30,2.3721366279069764,0.6104519367218018,0.6104519367218018,USA,plan,USA / Phrase; Exact
152.7,ks_0012,0.17041730880737305,0.17041730880737305,152.7,152.7,4.466695308685303,4.29627799987793,ks_0012,63,5.998132495716733,,,,market,A / Broad; Phrase; Exact
61.9,ks_0016,0.17041730880737305,0.17041730880737305,61.9,61.9,7.404170036315918,7.233752727508545,ks_0016,77,9.32314333612741,,,,market,B / Broad; Phrase; Exact
198.1,ks_0020,0.0,-1.0610744953155518,198.1,198.1,2.5515453815460205,3.6126198768615723,ks_0020,30,2.3721366279069764,,,,market,USA / Broad; Phrase; Exact
