opt_date,n_segments,plan_budget_total,pred_lift_total,actual_model_lift_total,observed_total,rmse_pred_lift_vs_observed,pred_lift_raw_total,actual_model_lift_raw_total,act_budget_total
2026-03-01,6,338.2300043358672,1.5855065905315069,2.8597760242109187,13.842806999273042,5.3023627147048895,1.5855065905315069,2.8597760242109187,412.7
2026-03-02,6,343.9399948872334,1.7498001799419811,2.9242191775467816,18.537223462279403,6.684026320314979,1.7498001799419811,2.9242191775467816,412.7
2026-03-03,6,338.2299959885348,1.808167486372917,3.0425261998940014,18.905251008546543,6.74260114382738,1.808167486372917,3.0425261998940014,412.7
2026-03-04,6,377.9299975202458,1.0124796605327824,3.0991725881594134,16.607025375874503,5.880978663352193,1.0124796605327824,3.0991725881594134,412.7
2026-03-05,6,377.92999267679477,2.011774694938615,3.1326523039922707,16.735965518063846,5.822409376490001,2.011774694938615,3.1326523039922707,412.7
2026-03-06,6,377.92999209565767,1.09945660813966,3.1147665215169655,13.27259699832998,4.7974531145295645,1.09945660813966,3.1147665215169655,412.7
2026-03-07,6,377.9299984274742,2.161131361781079,3.1178939847331453,15.877947637881277,6.004469641997681,2.161131361781079,3.1178939847331453,412.7
2026-03-08,6,377.9299940591262,1.2388589059538062,3.2461501460191267,14.179916213454467,5.363702197917835,1.2388589059538062,3.2461501460191267,412.7
2026-03-09,6,377.92999943094014,1.3200671185351103,3.3845830639808123,16.121406723291823,5.847871385755516,1.3200671185351103,3.3845830639808123,412.7
2026-03-10,6,377.9299977123144,1.370543449524171,3.426843860832358,15.795387739680518,5.803937442951261,1.370543449524171,3.426843860832358,412.7
2026-03-11,6,377.9299906867301,2.505991086971847,3.453984311940074,16.465594388445474,6.1609244151549305,2.505991086971847,3.453984311940074,412.7
2026-03-12,6,377.9299995518012,1.463890644214373,3.505534594324706,13.659518521329172,4.567350065951662,1.463890644214373,3.505534594324706,412.7
2026-03-13,6,377.9300058174882,2.629436669230805,3.426610619288901,19.00410584700255,7.052029884556471,2.629436669230805,3.426610619288901,412.7
2026-03-14,6,377.9299934153871,2.5681186770648257,3.52147755369001,13.69356562895057,4.8204253364004686,2.568118677064825,3.52147755369001,412.7
2026-03-15,6,377.93000049315253,2.4715145989087426,3.612429068462191,12.696715797815774,4.9122358684930685,2.4715145989087426,3.612429068462191,412.7
2026-03-16,6,377.92999233860087,2.4737463429870923,3.7342580131878353,18.054834681663568,7.049055914241735,2.4737463429870923,3.7342580131878353,412.7
2026-03-17,6,377.9300086805832,1.718468672925905,3.8912104251537123,15.123824960235815,5.292859061073035,1.718468672925905,3.8912104251537123,412.7
2026-03-18,6,377.92999294088486,1.7412237766996994,3.8468854703560273,12.95240692316233,4.425684092410404,1.7412237766996994,3.8468854703560273,412.7
2026-03-19,6,377.93000423295643,1.3992792752532561,3.779470172878586,13.318977242318558,4.6117772589309665,1.3992792752532561,3.779470172878586,412.7
2026-03-20,6,377.93000618464566,1.6273451042323845,3.7414150016234387,14.61046123509292,5.2370863016101765,1.6273451042323845,3.7414150016234387,412.7
2026-03-21,6,377.93000043898144,3.0589888352748265,3.7694521087573025,10.399373169205948,3.4350560579953298,3.0589888352748265,3.7694521087573025,412.7
2026-03-22,6,377.9300080337723,2.8087779334150715,3.7989665114767375,12.314267052580494,4.703993377402279,2.8087779334150715,3.7989665114767375,412.7
2026-03-23,6,377.92999176501803,1.5334385461639297,3.8704808890443054,17.238036819774283,6.188914655775624,1.5334385461639297,3.8704808890443054,412.7
2026-03-24,6,377.92999204968874,2.9656885890516924,3.916504228812923,16.455027260202716,5.859624026197348,2.9656885890516924,3.916504228812923,412.7
2026-03-25,6,377.9299910674491,1.7314327781417158,3.9326048047415556,17.043090524943104,6.144171293588895,1.7314327781417158,3.9326048047415556,412.7
2026-03-26,6,377.9300089850218,1.6072563698989113,3.9645679179378135,13.555150192174533,4.878051867402699,1.6072563698989113,3.9645679179378135,412.7
2026-03-27,6,377.9299907806146,1.4256434341822244,3.8972734991378086,8.733149717658579,4.0713655622978395,1.4256434341822244,3.8972734991378086,412.7
2026-03-28,6,377.9299953947303,2.953951894721499,3.8606292666851223,14.709108388966584,6.79444536888998,2.953951894721499,3.8606292666851223,412.7
2026-03-29,6,377.930004154863,2.0997663945577028,3.965901322351674,12.004644105655602,4.747756560719318,2.0997663945577028,3.965901322351674,412.7
2026-03-30,6,386.760002634744,1.568919110609544,4.040071734204313,17.69341245975112,6.371272920999554,1.568919110609544,4.040071734204313,412.7
2026-03-31,6,377.9300046458088,1.5219159533636843,5.494203861445358,17.469426607891606,6.615416546156959,1.5219159533636843,5.494203861445358,412.7
