actual_budget,actual_keyword_set_id,actual_model_lift,actual_model_lift_raw,campaign_budget,daily_budget,f_plan_level,f_zero,keyword_set_id,observed_clicks,observed_conv_scaled_clicks,pred_lift,pred_lift_raw,region,row_kind,segment
152.7,ks_0012,,,,0.0,0.8032723294441043,0.8032723294441041,synthetic_A_Broad_semantic_2,39,3.7131296402055964,0.0,0.0,A,plan,A / Broad
152.7,ks_0012,,,,50.0,7.116142052617406,6.385869609007135,ks_0013,39,3.7131296402055964,0.7302724436102723,0.7302724436102723,A,plan,A / Phrase; Exact
61.9,ks_0016,,,,0.0,1.3056977076948726,1.3056977076948724,synthetic_B_Broad_semantic_5,63,7.628026365922426,0.0,0.0,B,plan,B / Broad
61.9,ks_0016,,,,30.0,0.2461051834191219,0.0,ks_0019,63,7.628026365922426,0.2461051834191219,0.2461051834191219,B,plan,B / Phrase; Exact
198.1,ks_0020,,,,26.09,1.3021044521075873,0.6712257092380702,synthetic_USA_Broad_top_15,28,2.2139941860465115,0.6308787428695171,0.6308787428695171,USA,plan,USA / Broad
198.1,ks_0020,,,,271.84000898502177,0.0,0.0,synthetic_USA_Phrase; Exact_composite_22,28,2.2139941860465115,0.0,0.0,USA,plan,USA / Phrase; Exact
152.7,ks_0012,1.5126451743114484,1.5126451743114484,152.7,152.7,4.8441641937620865,3.331519019450638,ks_0012,39,3.7131296402055964,,,,market,A / Broad; Phrase; Exact
61.9,ks_0016,0.9855050501186353,0.9855050501186353,61.9,61.9,8.858238957076143,7.872733906957508,ks_0016,63,7.628026365922426,,,,market,B / Broad; Phrase; Exact
198.1,ks_0020,1.4664176935077298,1.4664176935077298,198.1,198.1,2.816061074194261,1.3496433806865311,ks_0020,28,2.2139941860465115,,,,market,USA / Broad; Phrase; Exact
