actual_budget,actual_keyword_set_id,actual_model_lift,actual_model_lift_raw,campaign_budget,daily_budget,f_plan_level,f_zero,keyword_set_id,observed_clicks,observed_conv_scaled_clicks,pred_lift,pred_lift_raw,region,row_kind,segment
152.7,ks_0012,,,,13.529999999999998,0.5585823591720215,0.00855322777575298,synthetic_A_Broad_dispersion_3,96,9.140011422044545,0.5500291313962685,0.5500291313962685,A,plan,A / Broad
152.7,ks_0012,,,,164.76919359336708,1.146012149847996,0.0,ks_0005,96,9.140011422044545,1.146012149847996,1.146012149847996,A,plan,A / Phrase; Exact
61.9,ks_0016,,,,12.35,0.4289056479975207,0.0,ks_0002,61,7.3858667987502855,0.4289056479975207,0.4289056479975207,B,plan,B / Broad
61.9,ks_0016,,,,35.71000000681482,2.7864724868888,2.056505276850287,synthetic_B_Phrase; Exact_top_11,61,7.3858667987502855,0.7299672100385126,0.7299672100385126,B,plan,B / Phrase; Exact
198.1,ks_0021,,,,66.3408063998181,1.1364409906936277,0.34107819696007086,synthetic_USA_Broad_dispersion_17,18,0.9435483870967742,0.7953627937335568,0.7953627937335568,USA,plan,USA / Broad
198.1,ks_0021,,,,120.0,0.8239550704222206,0.011906568834020193,ks_0010,18,0.9435483870967742,0.8120485015882004,0.8120485015882004,USA,plan,USA / Phrase; Exact
152.7,ks_0012,0.6129406456600144,0.6129406456600144,152.7,152.7,4.893699832428595,4.280759186768581,ks_0012,96,9.140011422044545,,,,market,A / Broad; Phrase; Exact
61.9,ks_0016,0.6140030572191062,0.6140030572191062,61.9,61.9,8.51876193517642,7.904758877957314,ks_0016,61,7.3858667987502855,,,,market,B / Broad; Phrase; Exact
198.1,ks_0021,1.2028309494976737,1.2028309494976737,198.1,198.1,1.2028309494976737,0.0,ks_0021,18,0.9435483870967742,,,,market,USA / Exact
