actual_budget,actual_keyword_set_id,actual_model_lift,actual_model_lift_raw,campaign_budget,daily_budget,f_plan_level,f_zero,keyword_set_id,observed_clicks,observed_conv_scaled_clicks,pred_lift,pred_lift_raw,region,row_kind,segment
152.7,ks_0012,,,,13.530000000001191,1.9694869131995363,0.0,synthetic_A_Broad_semantic_2,79,7.521467732724157,1.9694869131995365,1.9694869131995365,A,plan,A / Broad
152.7,ks_0012,,,,164.77000000000052,3.864258117481659,0.0,ks_0013,79,7.521467732724157,3.864258117481659,3.864258117481659,A,plan,A / Phrase; Exact
61.9,ks_0016,,,,12.34,2.0424197193823117,0.0,synthetic_B_Broad_semantic_5,74,8.959903985369198,2.0424197193823117,2.0424197193823117,B,plan,B / Broad
61.9,ks_0016,,,,30.0,3.3067198183205604,0.0,synthetic_B_Phrase; Exact_semantic_12,74,8.959903985369198,3.3067198183205604,3.3067198183205604,B,plan,B / Phrase; Exact
198.1,ks_0020,,,,72.05999999999834,0.47891136832858433,0.0,synthetic_USA_Broad_top_15,26,2.0558517441860467,0.47891136832858433,0.47891136832858433,USA,plan,USA / Broad
198.1,ks_0020,,,,120.0,2.750585525818381,0.0,synthetic_USA_Phrase; Exact_semantic_20,26,2.0558517441860467,2.750585525818381,2.750585525818381,USA,plan,USA / Phrase; Exact
152.7,ks_0012,4.931989055379498,4.931989055379498,152.7,152.7,4.931989055379498,0.0,ks_0012,79,7.521467732724157,,,,market,A / Broad; Phrase; Exact
61.9,ks_0016,8.555493019920283,8.555493019920283,61.9,61.9,8.555493019920283,0.0,ks_0016,74,8.959903985369198,,,,market,B / Broad; Phrase; Exact
198.1,ks_0020,3.094930870932906,3.094930870932906,198.1,198.1,3.094930870932906,0.0,ks_0020,26,2.0558517441860467,,,,market,USA / Broad; Phrase; Exact
