actual_budget,actual_keyword_set_id,actual_model_lift,actual_model_lift_raw,campaign_budget,daily_budget,f_plan_level,f_zero,keyword_set_id,observed_clicks,observed_conv_scaled_clicks,pred_lift,pred_lift_raw,region,row_kind,segment
90.91,ks_0015,,,,13.530000000003495,8.372984323217313,0.0,synthetic_A_Broad_composite_n40_15,46,1.416671281789696,8.372984323217313,8.372984323217313,A,plan,A / Broad
90.91,ks_0015,,,,153.68999999999625,3.133318137404937,0.0,synthetic_A_Phrase; Exact_allowlist_n40_34,46,1.416671281789696,3.133318137404937,3.133318137404937,A,plan,A / Phrase; Exact
36.36,ks_0019,,,,12.35,9.071408327472724,0.0,synthetic_B_Broad_composite_n40_29,49,0.8705729109776079,9.071408327472724,9.071408327472724,B,plan,B / Broad
36.36,ks_0019,,,,65.91000000000047,3.5202230663862064,0.0,synthetic_B_Phrase; Exact_allowlist_n40_40,49,0.8705729109776079,3.5202230663862064,3.5202230663862064,B,plan,B / Phrase; Exact
240.0,ks_0025,,,,36.359195754857645,9.371707644791677,0.0,synthetic_USA_Broad_composite_n40_53,54,1.1800216743429965,9.371707644791679,9.371707644791679,USA,plan,USA / Broad
240.0,ks_0025,,,,130.8608042451421,2.8462903394201318,0.0,synthetic_USA_Phrase; Exact_allowlist_n40_58,54,1.1800216743429965,2.8462903394201318,2.8462903394201318,USA,plan,USA / Phrase; Exact
90.91,ks_0015,0.9880791520180966,0.9880791520180966,90.91,90.91,0.9880791520180966,0.0,ks_0015,46,1.416671281789696,,,,market,A / Phrase; Exact
36.36,ks_0019,1.1800856525933163,1.1800856525933163,36.36,36.36,1.1800856525933163,0.0,ks_0019,49,0.8705729109776079,,,,market,B / Phrase; Exact
240.0,ks_0025,1.4446184800476862,1.4446184800476862,240.0,240.0,1.4446184800476862,0.0,ks_0025,54,1.1800216743429965,,,,market,USA / Phrase; Exact
