segment,keyword_set_id,source,display_file
USA / Broad,synthetic_USA_Broad_top_conv_n10_38,synthetic_top_conv_n10,synthetic_USA_Broad_top_conv_n10_38.csv
USA / Broad,synthetic_USA_Broad_allowlist_n20_39,synthetic_allowlist_n20,synthetic_USA_Broad_allowlist_n20_39.csv
USA / Broad,synthetic_USA_Broad_top_conv_n20_40,synthetic_top_conv_n20,synthetic_USA_Broad_top_conv_n20_40.csv
USA / Broad,synthetic_USA_Broad_allowlist_n40_41,synthetic_allowlist_n40,synthetic_USA_Broad_allowlist_n40_41.csv
USA / Broad,synthetic_USA_Broad_top_conv_n40_42,synthetic_top_conv_n40,synthetic_USA_Broad_top_conv_n40_42.csv
USA / Phrase; Exact,synthetic_USA_Phrase; Exact_allowlist_n10_43,synthetic_allowlist_n10,synthetic_USA_Phrase; Exact_allowlist_n10_43.csv
USA / Phrase; Exact,synthetic_USA_Phrase; Exact_top_conv_n10_44,synthetic_top_conv_n10,synthetic_USA_Phrase; Exact_top_conv_n10_44.csv
USA / Phrase; Exact,synthetic_USA_Phrase; Exact_semantic_n10_45,synthetic_semantic_n10,synthetic_USA_Phrase; Exact_semantic_n10_45.csv
USA / Phrase; Exact,synthetic_USA_Phrase; Exact_dispersion_n10_46,synthetic_dispersion_n10,synthetic_USA_Phrase; Exact_dispersion_n10_46.csv
USA / Phrase; Exact,synthetic_USA_Phrase; Exact_composite_n10_47,synthetic_composite_n10,synthetic_USA_Phrase; Exact_composite_n10_47.csv
USA / Phrase; Exact,synthetic_USA_Phrase; Exact_allowlist_n20_48,synthetic_allowlist_n20,synthetic_USA_Phrase; Exact_allowlist_n20_48.csv
USA / Phrase; Exact,synthetic_USA_Phrase; Exact_top_conv_n20_49,synthetic_top_conv_n20,synthetic_USA_Phrase; Exact_top_conv_n20_49.csv
USA / Phrase; Exact,synthetic_USA_Phrase; Exact_semantic_n20_50,synthetic_semantic_n20,synthetic_USA_Phrase; Exact_semantic_n20_50.csv
USA / Phrase; Exact,synthetic_USA_Phrase; Exact_dispersion_n20_51,synthetic_dispersion_n20,synthetic_USA_Phrase; Exact_dispersion_n20_51.csv
USA / Phrase; Exact,synthetic_USA_Phrase; Exact_composite_n20_52,synthetic_composite_n20,synthetic_USA_Phrase; Exact_composite_n20_52.csv
USA / Phrase; Exact,synthetic_USA_Phrase; Exact_allowlist_n40_53,synthetic_allowlist_n40,synthetic_USA_Phrase; Exact_allowlist_n40_53.csv
USA / Phrase; Exact,synthetic_USA_Phrase; Exact_top_conv_n40_54,synthetic_top_conv_n40,synthetic_USA_Phrase; Exact_top_conv_n40_54.csv
