actual_budget,actual_keyword_set_id,actual_model_lift,actual_model_lift_raw,campaign_budget,daily_budget,f_plan_level,f_zero,keyword_set_id,observed_clicks,observed_conv_scaled_clicks,pred_lift,pred_lift_raw,region,row_kind,segment
152.7,ks_0012,,,,13.529999999999998,0.5287367588621008,0.0,synthetic_A_Broad_dispersion_3,64,6.093340948029697,0.5287367588621008,0.5287367588621008,A,plan,A / Broad
152.7,ks_0012,,,,164.77,1.559719859622211,0.2789727373615989,ks_0006,64,6.093340948029697,1.2807471222606122,1.2807471222606122,A,plan,A / Phrase; Exact
61.9,ks_0016,,,,0.0,1.1077003010395632,1.1077003010395632,synthetic_B_Broad_dispersion_6,67,8.112345500266708,0.0,0.0,B,plan,B / Broad
61.9,ks_0016,,,,35.71000199172019,3.196372253521741,2.453629021070149,ks_0017,67,8.112345500266708,0.7427432324515921,0.7427432324515921,B,plan,B / Phrase; Exact
198.1,ks_0020,,,,78.68999800827982,1.143337202124121,0.3116455563924734,synthetic_USA_Broad_dispersion_17,32,2.5302790697674418,0.8316916457316477,0.8316916457316477,USA,plan,USA / Broad
198.1,ks_0020,,,,120.0,6.849277598714499,5.6768490023657,synthetic_USA_Phrase; Exact_dispersion_21,32,2.5302790697674418,1.1724285963487988,1.1724285963487988,USA,plan,USA / Phrase; Exact
152.7,ks_0012,0.600460051323993,0.600460051323993,152.7,152.7,4.8281208855636235,4.2276608342396305,ks_0012,64,6.093340948029697,,,,market,A / Broad; Phrase; Exact
61.9,ks_0016,0.6065824623615264,0.6065824623615264,61.9,61.9,8.43755911197812,7.830976649616593,ks_0016,67,8.112345500266708,,,,market,B / Broad; Phrase; Exact
198.1,ks_0020,0.1519553444978845,0.1519553444978845,198.1,198.1,3.0090192306132177,2.8570638861153332,ks_0020,32,2.5302790697674418,,,,market,USA / Broad; Phrase; Exact
