actual_budget,actual_keyword_set_id,actual_model_lift,actual_model_lift_raw,campaign_budget,daily_budget,f_plan_level,f_zero,keyword_set_id,observed_clicks,observed_conv_scaled_clicks,pred_lift,pred_lift_raw,region,row_kind,segment
152.7,ks_0012,,,,13.530000000001031,1.96291875034623,0.0,synthetic_A_Broad_semantic_2,57,5.426881781838949,1.96291875034623,1.96291875034623,A,plan,A / Broad
152.7,ks_0012,,,,164.77,3.858488231892933,0.0,ks_0013,57,5.426881781838949,3.858488231892933,3.858488231892933,A,plan,A / Phrase; Exact
61.9,ks_0016,,,,12.34,2.0358396040631646,0.0,synthetic_B_Broad_semantic_5,72,8.717744418197059,2.0358396040631646,2.0358396040631646,B,plan,B / Broad
61.9,ks_0016,,,,30.0,3.3005974690737028,0.0,synthetic_B_Phrase; Exact_semantic_12,72,8.717744418197059,3.3005974690737028,3.3005974690737028,B,plan,B / Phrase; Exact
198.1,ks_0020,,,,72.05999999999898,1.7973393740703294,0.0,synthetic_USA_Broad_semantic_16,25,1.976780523255814,1.7973393740703294,1.7973393740703294,USA,plan,USA / Broad
198.1,ks_0020,,,,120.0,2.744210566904502,0.0,synthetic_USA_Phrase; Exact_semantic_20,25,1.976780523255814,2.744210566904502,2.744210566904502,USA,plan,USA / Phrase; Exact
152.7,ks_0012,4.926445443409293,4.926445443409293,152.7,152.7,4.926445443409293,0.0,ks_0012,57,5.426881781838949,,,,market,A / Broad; Phrase; Exact
61.9,ks_0016,8.5503567616116,8.5503567616116,61.9,61.9,8.5503567616116,0.0,ks_0016,72,8.717744418197059,,,,market,B / Broad; Phrase; Exact
198.1,ks_0020,3.0888672252486598,3.0888672252486598,198.1,198.1,3.08886722524866,0.0,ks_0020,25,1.976780523255814,,,,market,USA / Broad; Phrase; Exact
