actual_budget,actual_keyword_set_id,actual_model_lift,actual_model_lift_raw,campaign_budget,daily_budget,f_plan_level,f_zero,keyword_set_id,observed_clicks,observed_conv_scaled_clicks,pred_lift,pred_lift_raw,region,row_kind,segment
152.7,ks_0012,,,,13.53,1.7816763756549947,1.2378669646987839,synthetic_A_Broad_semantic_2,42,3.9987549971444887,0.5438094109562108,0.5438094109562108,A,plan,A / Broad
152.7,ks_0012,,,,154.3393165411869,7.543593855293341,5.949224789211968,synthetic_A_Phrase; Exact_dispersion_9,42,3.9987549971444887,1.5943690660813727,1.5943690660813727,A,plan,A / Phrase; Exact
61.9,ks_0016,,,,12.35,1.6401117981005295,1.093864357238781,synthetic_B_Broad_semantic_5,64,7.7491061495084965,0.5462474408617486,0.5462474408617486,B,plan,B / Broad
61.9,ks_0016,,,,64.61136691762621,10.566681257616027,9.038792726566143,synthetic_B_Phrase; Exact_dispersion_13,64,7.7491061495084965,1.527888531049884,1.527888531049884,B,plan,B / Phrase; Exact
198.1,ks_0020,,,,36.35919319907893,1.3812534821775928,0.7348816731261535,synthetic_USA_Broad_semantic_16,12,0.9488546511627907,0.6463718090514393,0.6463718090514393,USA,plan,USA / Broad
198.1,ks_0020,,,,131.51012334210796,7.4300484963246145,6.206735238896572,synthetic_USA_Phrase; Exact_dispersion_21,12,0.9488546511627907,1.2233132574280425,1.2233132574280425,USA,plan,USA / Phrase; Exact
152.7,ks_0012,0.7928296128322674,0.7928296128322674,152.7,152.7,4.761734155076052,3.9689045422437847,ks_0012,42,3.9987549971444887,,,,market,A / Broad; Phrase; Exact
61.9,ks_0016,0.7663894177422339,0.7663894177422339,61.9,61.9,8.472683613419195,7.706294195676961,ks_0016,64,7.7491061495084965,,,,market,B / Broad; Phrase; Exact
198.1,ks_0020,0.4845555120582308,0.4845555120582308,198.1,198.1,2.8718994459192215,2.3873439338609908,ks_0020,12,0.9488546511627907,,,,market,USA / Broad; Phrase; Exact
