actual_budget,actual_keyword_set_id,actual_model_lift,actual_model_lift_raw,campaign_budget,daily_budget,f_plan_level,f_zero,keyword_set_id,observed_clicks,observed_conv_scaled_clicks,pred_lift,pred_lift_raw,region,row_kind,segment
152.7,ks_0012,,,,0.0,1.2156894236643307,1.2156894236643307,synthetic_A_Broad_semantic_2,56,5.331673329525985,0.0,0.0,A,plan,A / Broad
152.7,ks_0012,,,,50.0,3.267453122189912,2.4995605909777634,ks_0013,56,5.331673329525985,0.7678925312121487,0.7678925312121487,A,plan,A / Phrase; Exact
61.9,ks_0016,,,,0.0,1.0721419624582322,1.0721419624582322,synthetic_B_Broad_semantic_5,76,9.20206355254134,0.0,0.0,B,plan,B / Broad
61.9,ks_0016,,,,35.70999956177389,9.904665272289192,8.853350912851862,synthetic_B_Phrase; Exact_dispersion_13,76,9.20206355254134,1.0513143594373293,1.0513143594373293,B,plan,B / Phrase; Exact
198.1,ks_0020,,,,35.70999956177389,0.30292671068955807,0.0,synthetic_USA_Broad_composite_18,17,1.3442107558139536,0.30292671068955807,0.30292671068955807,USA,plan,USA / Broad
198.1,ks_0020,,,,291.2800008764522,8.302390011409416,6.140193454661476,synthetic_USA_Phrase; Exact_dispersion_21,17,1.3442107558139536,2.1621965567479426,2.1621965567479426,USA,plan,USA / Phrase; Exact
152.7,ks_0012,0.7796424221551748,0.7796424221551748,152.7,152.7,4.697839764620792,3.918197342465617,ks_0012,56,5.331673329525985,,,,market,A / Broad; Phrase; Exact
61.9,ks_0016,0.7585487014518328,0.7585487014518328,61.9,61.9,8.39228079149219,7.633732090040358,ks_0016,76,9.20206355254134,,,,market,B / Broad; Phrase; Exact
198.1,ks_0020,0.47528487436354405,0.47528487436354405,198.1,198.1,2.829079963442249,2.353795089078705,ks_0020,17,1.3442107558139536,,,,market,USA / Broad; Phrase; Exact
