actual_budget,actual_keyword_set_id,actual_model_lift,actual_model_lift_raw,campaign_budget,daily_budget,f_plan_level,f_zero,keyword_set_id,observed_clicks,observed_conv_scaled_clicks,pred_lift,pred_lift_raw,region,row_kind,segment
152.7,ks_0012,,,,13.53,1.7398829365331328,1.1961646262140346,synthetic_A_Broad_semantic_2,58,5.5220902341519125,0.5437183103190981,0.5437183103190981,A,plan,A / Broad
152.7,ks_0012,,,,154.3393165411869,7.464924143174004,5.881553605296659,synthetic_A_Phrase; Exact_dispersion_9,58,5.5220902341519125,1.5833705378773448,1.5833705378773448,A,plan,A / Phrase; Exact
61.9,ks_0016,,,,12.35,1.5985436013142464,1.0523737241509066,synthetic_B_Broad_semantic_5,62,7.506946582336356,0.5461698771633399,0.5461698771633399,B,plan,B / Broad
61.9,ks_0016,,,,64.61136691762621,10.437696292430584,8.921150121965542,synthetic_B_Phrase; Exact_dispersion_13,62,7.506946582336356,1.5165461704650411,1.5165461704650411,B,plan,B / Phrase; Exact
198.1,ks_0020,,,,36.35919319907893,1.340449727041701,0.6942452079835945,synthetic_USA_Broad_semantic_16,20,1.581424418604651,0.6462045190581066,0.6462045190581066,USA,plan,USA / Broad
198.1,ks_0020,,,,131.51012334210796,7.360240222376206,6.144397446130334,synthetic_USA_Phrase; Exact_dispersion_21,20,1.581424418604651,1.2158427762458714,1.2158427762458714,USA,plan,USA / Phrase; Exact
152.7,ks_0012,0.7866957615437915,0.7866957615437915,152.7,152.7,4.700627763306823,3.9139320017630315,ks_0012,58,5.5220902341519125,,,,market,A / Broad; Phrase; Exact
61.9,ks_0016,0.7627424099072773,0.7627424099072773,61.9,61.9,8.40389853813555,7.641156128228275,ks_0016,62,7.506946582336356,,,,market,B / Broad; Phrase; Exact
198.1,ks_0020,0.48024339476494715,0.48024339476494715,198.1,198.1,2.820595775186071,2.3403523804211237,ks_0020,20,1.581424418604651,,,,market,USA / Broad; Phrase; Exact
