actual_budget,actual_keyword_set_id,actual_model_lift,actual_model_lift_raw,campaign_budget,daily_budget,f_plan_level,f_zero,keyword_set_id,observed_clicks,observed_conv_scaled_clicks,pred_lift,pred_lift_raw,region,row_kind,segment
152.7,ks_0012,,,,0.0,1.278383729605429,1.278383729605429,synthetic_A_Broad_semantic_2,47,4.474797258709309,0.0,0.0,A,plan,A / Broad
152.7,ks_0012,,,,50.0,3.3834466140882657,2.6088133183184548,ks_0013,47,4.474797258709309,0.774633295769811,0.774633295769811,A,plan,A / Phrase; Exact
61.9,ks_0016,,,,0.0,0.6549246207020247,0.6549246207020247,synthetic_B_Broad_dispersion_6,53,6.417228530061724,0.0,0.0,B,plan,B / Broad
61.9,ks_0016,,,,35.70999883290488,10.355763138174918,9.275654359210904,synthetic_B_Phrase; Exact_dispersion_13,53,6.417228530061724,1.0801087789640142,1.0801087789640142,B,plan,B / Phrase; Exact
198.1,ks_0020,,,,35.70999883290404,0.3695738986171975,0.0,synthetic_USA_Broad_composite_18,35,2.7674927325581393,0.3695738986171975,0.3695738986171975,USA,plan,USA / Broad
198.1,ks_0020,,,,291.28000233419107,8.556387123787573,6.300605326735134,synthetic_USA_Phrase; Exact_dispersion_21,35,2.7674927325581393,2.255781797052439,2.255781797052439,USA,plan,USA / Phrase; Exact
152.7,ks_0012,0.808688791125415,0.808688791125415,152.7,152.7,4.852420434399618,4.043731643274203,ks_0012,47,4.474797258709309,,,,market,A / Broad; Phrase; Exact
61.9,ks_0016,0.7758188193972435,0.7758188193972435,61.9,61.9,8.583223261398869,7.807404442001626,ks_0016,53,6.417228530061724,,,,market,B / Broad; Phrase; Exact
198.1,ks_0020,0.4957045656884791,0.4957045656884791,198.1,198.1,2.937240620942447,2.4415360552539678,ks_0020,35,2.7674927325581393,,,,market,USA / Broad; Phrase; Exact
