actual_budget,actual_keyword_set_id,actual_model_lift,actual_model_lift_raw,campaign_budget,daily_budget,f_plan_level,f_zero,keyword_set_id,observed_clicks,observed_conv_scaled_clicks,pred_lift,pred_lift_raw,region,row_kind,segment
152.7,ks_0012,,,,13.530000000000898,1.8250595049658493,0.0,synthetic_A_Broad_semantic_2,56,5.331673329525985,1.8250595049658493,1.8250595049658493,A,plan,A / Broad
152.7,ks_0012,,,,164.7691921283257,3.6221009513374542,0.0,ks_0013,56,5.331673329525985,3.6221009513374542,3.6221009513374542,A,plan,A / Phrase; Exact
61.9,ks_0016,,,,12.34,1.8994555426997244,0.0,synthetic_B_Broad_semantic_5,56,6.780467880819934,1.8994555426997244,1.8994555426997244,B,plan,B / Broad
61.9,ks_0016,,,,30.0,3.1077155099323006,0.0,synthetic_B_Phrase; Exact_semantic_12,56,6.780467880819934,3.1077155099323006,3.1077155099323006,B,plan,B / Phrase; Exact
198.1,ks_0020,,,,72.06080787167346,0.33244204372168307,0.0,synthetic_USA_Broad_top_15,20,1.581424418604651,0.33244204372168307,0.33244204372168307,USA,plan,USA / Broad
198.1,ks_0020,,,,120.0,2.582505918640839,0.0,synthetic_USA_Phrase; Exact_semantic_20,20,1.581424418604651,2.582505918640839,2.582505918640839,USA,plan,USA / Phrase; Exact
152.7,ks_0012,4.662135212327222,4.662135212327222,152.7,152.7,4.662135212327222,0.0,ks_0012,56,5.331673329525985,,,,market,A / Broad; Phrase; Exact
61.9,ks_0016,8.23577057754511,8.23577057754511,61.9,61.9,8.23577057754511,0.0,ks_0016,56,6.780467880819934,,,,market,B / Broad; Phrase; Exact
198.1,ks_0020,2.888740019942276,2.888740019942276,198.1,198.1,2.888740019942276,0.0,ks_0020,20,1.581424418604651,,,,market,USA / Broad; Phrase; Exact
