opt_date,winner,backend,n_segments,plan_budget_total,n_segments_zero_budget,pred_lift_total,actual_model_lift_total,observed_total,rmse_pred_lift_vs_observed,pred_lift_raw_total,actual_model_lift_raw_total,act_budget_total
2026-03-01,power_level,tree_embed,6,412.69999999999993,0,6.079037105252743,2.0423897040868284,13.842806999273042,4.622451055487267,6.079037105252743,2.0423897040868284,412.7
2026-03-02,power_level,tree_embed,6,412.69999999999993,0,6.213317152935581,2.105161627936668,18.537223462279403,5.9323757727258695,6.213317152935581,2.105161627936668,412.7
2026-03-03,power_level,tree_embed,6,412.69999999999993,0,6.213031994024119,2.105028324636704,18.905251008546543,5.995868854790524,6.213031994024119,2.105028324636704,412.7
2026-03-04,power_level,tree_embed,6,412.69999999999993,0,6.136484612143912,2.06924470295049,16.607025375874503,5.109583570386768,6.136484612143912,2.06924470295049,412.7
2026-03-05,power_level,tree_embed,6,412.69999999999993,0,6.158400431716099,2.079489696015596,16.735965518063846,5.102486904529741,6.158400431716099,2.079489696015596,412.7
2026-03-06,power_level,tree_embed,6,412.69999999999993,0,6.048939035326962,2.0283197526233603,13.27259699832998,4.08286662994921,6.048939035326962,2.0283197526233603,412.7
2026-03-07,power_level,tree_embed,6,412.69999999999993,0,6.017185665980817,2.0134759979705517,15.877947637881277,5.350550844883476,6.017185665980817,2.0134759979705517,412.7
2026-03-08,power_level,tree_embed,6,412.69999999999993,0,6.080517704851769,2.043081840311719,14.179916213454467,4.693333682705041,6.080517704851769,2.043081840311719,412.7
2026-03-09,power_level,tree_embed,6,412.69999999999993,0,6.214907579777511,2.1059051051273134,16.121406723291823,5.1347146067764085,6.214907579777511,2.1059051051273134,412.7
2026-03-10,power_level,tree_embed,6,412.69999999999993,0,6.214622187635434,2.105771692798984,15.795387739680518,5.108495573820079,6.214622187635434,2.105771692798984,412.7
2026-03-11,power_level,tree_embed,6,412.69999999999993,0,6.1380121978842315,2.069958803797346,16.465594388445474,5.532403428949665,6.1380121978842315,2.069958803797346,412.7
2026-03-12,power_level,tree_embed,6,412.69999999999993,0,6.159945942338638,2.080212176211137,13.659518521329172,3.840420993256949,6.159945942338638,2.080212176211137,412.7
2026-03-13,power_level,tree_embed,6,412.69999999999993,0,6.050395017806056,2.029000381077722,19.00410584700255,6.42210724622545,6.050395017806056,2.029000381077722,412.7
2026-03-14,power_level,tree_embed,6,412.69999999999993,0,6.018615677475621,2.0141444857630844,13.69356562895057,4.179099379006084,6.018615677475621,2.0141444857630844,412.7
2026-03-15,power_level,tree_embed,6,412.69999999999993,0,6.0819995154286985,2.043774542632732,12.696715797815775,4.251847957815698,6.0819995154286985,2.043774542632732,412.7
2026-03-16,power_level,tree_embed,6,412.69999999999993,0,6.216499307424719,2.106649190405684,18.054834681663568,6.329958009650232,6.216499307424719,2.106649190405684,412.7
2026-03-17,power_level,tree_embed,6,412.69999999999993,0,6.216213681861282,2.1065156689598203,15.123824960235815,4.623509407029503,6.216213681861282,2.1065156689598203,412.7
2026-03-18,power_level,tree_embed,6,412.69999999999993,0,6.139541033032281,2.070673488705106,12.95240692316233,3.766175655495099,6.139541033032281,2.070673488705106,412.7
2026-03-19,power_level,tree_embed,6,412.69999999999993,0,6.161492717029623,2.080935247321033,13.318977242318558,3.8686978665616234,6.161492717029623,2.080935247321033,412.7
2026-03-20,power_level,tree_embed,6,412.69999999999993,0,6.051852191128802,2.029681566216016,14.61046123509292,4.57608448875588,6.051852191128802,2.029681566216016,412.7
2026-03-21,power_level,tree_embed,6,412.69999999999993,0,6.020046858572493,2.014813520309754,10.399373169205948,2.881879919374365,6.020046858572493,2.014813520309754,412.7
2026-03-22,power_level,tree_embed,6,412.69999999999993,0,6.083482537973994,2.0444678115128663,12.314267052580494,4.089910286594421,6.083482537973994,2.0444678115128663,412.7
2026-03-23,power_level,tree_embed,6,412.69999999999993,0,6.218092336941136,2.107393884269147,17.238036819774283,5.462005409476159,6.218092336941136,2.107393884269147,412.7
2026-03-24,power_level,tree_embed,6,412.69999999999993,0,6.2178064777654205,2.1072602536165013,16.455027260202716,5.205418681668417,6.2178064777654205,2.1072602536165013,412.7
2026-03-25,power_level,tree_embed,6,412.69999999999993,0,6.141071118609952,2.071388758151477,17.043090524943104,5.471762390774228,6.141071118609952,2.071388758151477,412.7
2026-03-26,power_level,tree_embed,6,412.69999999999993,0,6.163040756822928,2.081658909828599,13.555150192174533,4.179216968485285,6.163040756822928,2.081658909828599,412.7
2026-03-27,power_level,tree_embed,6,412.69999999999993,0,6.053310556269179,2.0303633084935657,8.733149717658579,3.4914653444731085,6.053310556269179,2.0303633084935657,412.7
2026-03-28,power_level,tree_embed,6,412.69999999999993,0,6.0214792102280335,2.0154831020577455,14.709108388966584,6.233009659884476,6.0214792102280335,2.0154831020577455,412.7
2026-03-29,power_level,tree_embed,6,412.69999999999993,0,6.084966773478933,2.045161647415503,12.004644105655602,4.2447286717090496,6.084966773478933,2.045161647415503,412.7
2026-03-30,power_level,tree_embed,6,412.69999999999993,0,6.219686669391557,2.1081391872154627,17.69341245975112,5.625911403900745,6.219686669391557,2.1081391872154627,412.7
2026-03-31,power_level,tree_embed,6,412.69999999999993,0,6.219400576412485,2.8800511754252494,17.469426607891606,5.926566203362429,6.219400576412485,2.8800511754252494,412.7
