actual_budget,actual_keyword_set_id,actual_model_lift,actual_model_lift_raw,campaign_budget,daily_budget,f_plan_level,f_zero,keyword_set_id,observed_clicks,observed_conv_scaled_clicks,pred_lift,pred_lift_raw,region,row_kind,segment
152.7,ks_0012,,,,13.53,1.820322580242238,0.0,synthetic_A_Broad_semantic_2,77,7.331050828098229,1.820322580242238,1.820322580242238,A,plan,A / Broad
152.7,ks_0012,,,,164.76919244153672,3.6333148863882587,0.0,ks_0013,77,7.331050828098229,3.6333148863882587,3.6333148863882587,A,plan,A / Phrase; Exact
61.9,ks_0016,,,,12.34,1.8944797880785316,0.0,synthetic_B_Broad_semantic_5,84,10.170701821229901,1.8944797880785316,1.8944797880785316,B,plan,B / Broad
61.9,ks_0016,,,,30.0,3.111886673244985,0.0,synthetic_B_Phrase; Exact_semantic_12,84,10.170701821229901,3.111886673244985,3.111886673244985,B,plan,B / Phrase; Exact
198.1,ks_0020,,,,72.06080755846328,0.3280387723973699,0.0,synthetic_USA_Broad_top_15,19,1.5023531976744184,0.3280387723973699,0.3280387723973699,USA,plan,USA / Broad
198.1,ks_0020,,,,120.0,2.5816295259343875,0.0,synthetic_USA_Phrase; Exact_semantic_20,19,1.5023531976744184,2.5816295259343875,2.5816295259343875,USA,plan,USA / Phrase; Exact
152.7,ks_0012,4.677870496913365,4.677870496913365,152.7,152.7,4.677870496913365,0.0,ks_0012,77,7.331050828098229,,,,market,A / Broad; Phrase; Exact
61.9,ks_0016,8.259645457303508,8.259645457303508,61.9,61.9,8.259645457303506,0.0,ks_0016,84,10.170701821229901,,,,market,B / Broad; Phrase; Exact
198.1,ks_0020,2.894084176847435,2.894084176847435,198.1,198.1,2.894084176847435,0.0,ks_0020,19,1.5023531976744184,,,,market,USA / Broad; Phrase; Exact
