actual_budget,actual_keyword_set_id,actual_model_lift,actual_model_lift_raw,campaign_budget,daily_budget,f_plan_level,f_zero,keyword_set_id,observed_clicks,observed_conv_scaled_clicks,pred_lift,pred_lift_raw,region,row_kind,segment
152.7,ks_0012,,,,0.0,1.3338979415045207,1.3338979415045207,synthetic_A_Broad_semantic_2,59,5.617298686464877,0.0,0.0,A,plan,A / Broad
152.7,ks_0012,,,,50.0,3.4593740630576892,2.6821590988725084,ks_0013,59,5.617298686464877,0.7772149641851809,0.7772149641851809,A,plan,A / Phrase; Exact
61.9,ks_0016,,,,0.0,1.1889640097526886,1.1889640097526886,synthetic_B_Broad_semantic_5,71,8.596664634610988,0.0,0.0,B,plan,B / Broad
61.9,ks_0016,,,,35.70999904630688,10.560033362333238,9.468896502675346,synthetic_B_Phrase; Exact_dispersion_13,71,8.596664634610988,1.091136859657892,1.091136859657892,B,plan,B / Phrase; Exact
198.1,ks_0020,,,,35.70999904630688,0.4266020403409362,0.0,synthetic_USA_Broad_composite_18,20,1.581424418604651,0.4266020403409362,0.4266020403409362,USA,plan,USA / Broad
198.1,ks_0020,,,,291.2800019073862,8.685169043388616,6.393544722669862,synthetic_USA_Phrase; Exact_dispersion_21,20,1.581424418604651,2.2916243207187543,2.2916243207187543,USA,plan,USA / Phrase; Exact
152.7,ks_0012,0.8198133590746783,0.8198133590746783,152.7,152.7,4.943126518273165,4.123313159198487,ks_0012,59,5.617298686464877,,,,market,A / Broad; Phrase; Exact
61.9,ks_0016,0.7824331607895303,0.7824331607895303,61.9,61.9,8.687855675158753,7.9054225143692225,ks_0016,71,8.596664634610988,,,,market,B / Broad; Phrase; Exact
198.1,ks_0020,0.5035251729347747,0.5035251729347747,198.1,198.1,3.0101681459424796,2.506642973007705,ks_0020,20,1.581424418604651,,,,market,USA / Broad; Phrase; Exact
