actual_budget,actual_keyword_set_id,actual_model_lift,actual_model_lift_raw,campaign_budget,daily_budget,f_plan_level,f_zero,keyword_set_id,observed_clicks,observed_conv_scaled_clicks,pred_lift,pred_lift_raw,region,row_kind,segment
152.7,ks_0012,,,,0.0,1.272645701151714,1.272645701151714,synthetic_A_Broad_semantic_2,59,5.617298686464877,0.0,0.0,A,plan,A / Broad
152.7,ks_0012,,,,50.0,7.669617143698957,7.136925718371512,ks_0013,59,5.617298686464877,0.5326914253274451,0.5326914253274451,A,plan,A / Phrase; Exact
61.9,ks_0016,,,,0.0,1.7094824087079494,1.7094824087079494,synthetic_B_Broad_semantic_5,71,8.596664634610988,0.0,0.0,B,plan,B / Broad
61.9,ks_0016,,,,30.0,5.776714405700717,5.363237001573852,synthetic_B_Phrase; Exact_semantic_12,71,8.596664634610988,0.41347740412686473,0.41347740412686473,B,plan,B / Phrase; Exact
198.1,ks_0020,,,,26.09,1.5945827728915336,1.1702081528216723,synthetic_USA_Broad_top_15,20,1.581424418604651,0.42437462006986126,0.42437462006986126,USA,plan,USA / Broad
198.1,ks_0020,,,,271.8399977123144,0.0,0.0,synthetic_USA_Phrase; Exact_composite_22,20,1.581424418604651,0.0,0.0,USA,plan,USA / Phrase; Exact
152.7,ks_0012,1.2816759738919163,1.2816759738919163,152.7,152.7,5.024817698742698,3.7431417248507817,ks_0012,59,5.617298686464877,,,,market,A / Broad; Phrase; Exact
61.9,ks_0016,0.8266061615366169,0.8266061615366169,61.9,61.9,9.473070840116893,8.646464678580276,ks_0016,71,8.596664634610988,,,,market,B / Broad; Phrase; Exact
198.1,ks_0020,1.3185617254038253,1.3185617254038253,198.1,198.1,3.2053621106579997,1.8868003852541744,ks_0020,20,1.581424418604651,,,,market,USA / Broad; Phrase; Exact
