score_date,target,n_segments,plan_pred_source,pred_level_total,rmse_pred_vs_observed,mean_error,pred_total,observed_total,total_bias_pct,mean_observed_target,nrmse,r2_pred_vs_observed,act_budget_total
2026-06-12,conv_scaled_clicks,6,milp_pred,4.418052014937603,0.8657026009221623,-0.751398807909539,4.418052014937603,4.463222431197419,-1.0120583716392995,1.4877408103991394,0.5818907398862755,-213.54079834977145,169.06
2026-06-13,conv_scaled_clicks,6,milp_pred,4.454869115062083,0.8410660295105574,-0.7139910270821996,4.454869115062083,4.3694076387776395,1.9559053159972886,1.45646921292588,0.5774691439038055,-36.56773487331755,170.905
2026-06-14,conv_scaled_clicks,6,milp_pred,4.491686215186562,0.8100184558445118,-0.6789107942906005,4.491686215186562,4.282575490465083,4.882826355006528,1.427525163488361,0.5674284955265632,-57.055546062376074,170.70499999999998
